code,name,kind,kind1
060310,3S3S,코스닥,
580004,able KQ Monthly Best 11 ETNable KQ Monthly Best 11 ETNable KQ Monthly Best 11 ETN,거래소,종합(KOSPI)
580006,able KTOP30 ETNable KTOP30 ETNable KTOP30 ETN,거래소,종합(KOSPI)
580003,able Monthly Best 11 ETNable Monthly Best 11 ETNable Monthly Best 11 ETN,거래소,종합(KOSPI)
580002,able Quant비중조절 ETNable Quant비중조절 ETNable Quant비중조절 ETN,거래소,종합(KOSPI)
580005,able 우량주 Monthly Best 11 ETNable 우량주 Monthly Best 11 ETNable 우량주 Monthly Best 11 ETN,거래소,종합(KOSPI)
580001,able 코스피200선물플러스 ETNable 코스피200선물플러스 ETNable 코스피200선물플러스 ETN,거래소,종합(KOSPI)
095570,AJ네트웍스AJ네트웍스AJ네트웍스AJ네트웍스AJ네트웍스,거래소,종합(KOSPI)중형주서비스업
068400,AJ렌터카AJ렌터카AJ렌터카AJ렌터카AJ렌터카,거래소,종합(KOSPI)소형주서비스업
006840,AK홀딩스AK홀딩스AK홀딩스AK홀딩스AK홀딩스,거래소,종합(KOSPI)중형주서비스업
054620,AP시스템AP시스템,코스닥,
211270,AP위성AP위성,코스닥,
152100,ARIRANG 200ARIRANG 200ARIRANG 200ARIRANG 200,거래소ETF,종합(KOSPI)
253150,ARIRANG 200선물레버리지ARIRANG 200선물레버리지ARIRANG 200선물레버리지ARIRANG 200선물레버리지,거래소ETF,종합(KOSPI)
253160,ARIRANG 200선물인버스2XARIRANG 200선물인버스2XARIRANG 200선물인버스2XARIRANG 200선물인버스2X,거래소ETF,종합(KOSPI)
189400,ARIRANG AC 월드(합성 H)ARIRANG AC 월드(합성 H)ARIRANG AC 월드(합성 H)ARIRANG AC 월드(합성 H),거래소ETF,종합(KOSPI)
141240,ARIRANG K100EWARIRANG K100EWARIRANG K100EWARIRANG K100EW,거래소ETF,종합(KOSPI)
122090,ARIRANG KOSPI50ARIRANG KOSPI50ARIRANG KOSPI50ARIRANG KOSPI50,거래소ETF,종합(KOSPI)
222170,ARIRANG S&P 배당성장ARIRANG S&P 배당성장ARIRANG S&P 배당성장ARIRANG S&P 배당성장,거래소ETF,종합(KOSPI)
251590,ARIRANG 고배당저변동50ARIRANG 고배당저변동50ARIRANG 고배당저변동50ARIRANG 고배당저변동50,거래소ETF,종합(KOSPI)
161510,ARIRANG 고배당주ARIRANG 고배당주ARIRANG 고배당주ARIRANG 고배당주,거래소ETF,종합(KOSPI)
251600,ARIRANG 고배당주채권혼합ARIRANG 고배당주채권혼합ARIRANG 고배당주채권혼합ARIRANG 고배당주채권혼합,거래소ETF,종합(KOSPI)
190160,ARIRANG 단기유동성ARIRANG 단기유동성ARIRANG 단기유동성ARIRANG 단기유동성,거래소ETF,종합(KOSPI)
213630,ARIRANG 미국고배당주(합성 H)ARIRANG 미국고배당주(합성 H)ARIRANG 미국고배당주(합성 H)ARIRANG 미국고배당주(합성 H),거래소ETF,종합(KOSPI)
190150,ARIRANG 바벨 채권ARIRANG 바벨 채권ARIRANG 바벨 채권ARIRANG 바벨 채권,거래소ETF,종합(KOSPI)
161490,ARIRANG 방어주ARIRANG 방어주ARIRANG 방어주ARIRANG 방어주,거래소ETF,종합(KOSPI)
195970,ARIRANG 선진국(합성 H)ARIRANG 선진국(합성 H)ARIRANG 선진국(합성 H)ARIRANG 선진국(합성 H),거래소ETF,종합(KOSPI)
236460,ARIRANG 스마트베타 LowVOLARIRANG 스마트베타 LowVOLARIRANG 스마트베타 LowVOLARIRANG 스마트베타 LowVOL,거래소ETF,종합(KOSPI)
222190,ARIRANG 스마트베타 MomentumARIRANG 스마트베타 MomentumARIRANG 스마트베타 MomentumARIRANG 스마트베타 Momentum,거래소ETF,종합(KOSPI)
222200,ARIRANG 스마트베타 QualityARIRANG 스마트베타 QualityARIRANG 스마트베타 QualityARIRANG 스마트베타 Quality,거래소ETF,종합(KOSPI)
222180,ARIRANG 스마트베타 ValueARIRANG 스마트베타 ValueARIRANG 스마트베타 ValueARIRANG 스마트베타 Value,거래소ETF,종합(KOSPI)
244820,ARIRANG 스마트베타4종결합ARIRANG 스마트베타4종결합ARIRANG 스마트베타4종결합ARIRANG 스마트베타4종결합,거래소ETF,종합(KOSPI)
238670,ARIRANG 스마트베타Quality채권혼합ARIRANG 스마트베타Quality채권혼합ARIRANG 스마트베타Quality채권혼합ARIRANG 스마트베타Quality채권혼합,거래소ETF,종합(KOSPI)
195980,ARIRANG 신흥국(합성 H)ARIRANG 신흥국(합성 H)ARIRANG 신흥국(합성 H)ARIRANG 신흥국(합성 H),거래소ETF,종합(KOSPI)
256450,ARIRANG 심천차이넥스트(합성)ARIRANG 심천차이넥스트(합성)ARIRANG 심천차이넥스트(합성)ARIRANG 심천차이넥스트(합성),거래소ETF,종합(KOSPI)
239660,ARIRANG 우량회사채50ARIRANG 우량회사채50ARIRANG 우량회사채50ARIRANG 우량회사채50,거래소ETF,종합(KOSPI)
161500,ARIRANG 주도주ARIRANG 주도주ARIRANG 주도주ARIRANG 주도주,거래소ETF,종합(KOSPI)
204420,ARIRANG 차이나H 레버리지(합성 H)ARIRANG 차이나H 레버리지(합성 H)ARIRANG 차이나H 레버리지(합성 H)ARIRANG 차이나H 레버리지(합성 H),거래소ETF,종합(KOSPI)
227830,ARIRANG 코스피ARIRANG 코스피ARIRANG 코스피ARIRANG 코스피,거래소ETF,종합(KOSPI)
027410,BGF리테일BGF리테일BGF리테일BGF리테일BGF리테일,거래소,종합(KOSPI)대형주유통업
138930,BNK금융지주BNK금융지주BNK금융지주BNK금융지주BNK금융지주,거래소,종합(KOSPI)대형주금융업
001460,BYCBYCBYCBYCBYCBYC,거래소,종합(KOSPI)소형주섬유의복제조업
001465,BYC우BYC우BYC우BYC우BYC우,거래소,종합(KOSPI)섬유의복제조업
032040,C&S자산관리C&S자산관리,코스닥,
001040,CJCJCJCJCJ,거래소,종합(KOSPI)대형주서비스업
079160,CJ CGVCJ CGVCJ CGVCJ CGVCJ CGV,거래소,종합(KOSPI)대형주서비스업
130960,CJ E&MCJ E&M,코스닥,
000120,CJ대한통운CJ대한통운CJ대한통운CJ대한통운CJ대한통운,거래소,종합(KOSPI)대형주운수창고
011150,CJ씨푸드CJ씨푸드CJ씨푸드CJ씨푸드CJ씨푸드CJ씨푸드,거래소,종합(KOSPI)소형주음식료업제조업
011155,CJ씨푸드1우CJ씨푸드1우CJ씨푸드1우CJ씨푸드1우CJ씨푸드1우,거래소,종합(KOSPI)음식료업제조업
035760,CJ오쇼핑CJ오쇼핑,코스닥,
001045,CJ우CJ우CJ우CJ우,거래소,종합(KOSPI)서비스업
097950,CJ제일제당CJ제일제당CJ제일제당CJ제일제당CJ제일제당CJ제일제당,거래소,종합(KOSPI)대형주음식료업제조업
