code,name,kind1
234080,JW생명과학,의약품
001060,JW중외제약,의약품
001067,JW중외제약2우B,의약품
001065,JW중외제약우,의약품
068870,LG생명과학,의약품
068875,LG생명과학우,의약품
214390,경보제약,의약품
009290,광동제약,의약품
002720,국제약품,의약품
006280,녹십자,의약품
069620,대웅제약,의약품
003220,대원제약,의약품
002210,동성제약,의약품
170900,동아에스티,의약품
000020,동화약품,의약품
017180,명문제약,의약품
003850,보령제약,의약품
003000,부광약품,의약품
207940,삼성바이오로직스,의약품
001360,삼성제약,의약품
000520,삼일제약,의약품
005500,삼진제약,의약품
003060,슈넬생명과학,의약품
019170,신풍제약,의약품
019175,신풍제약우,의약품
002250,알보젠코리아,의약품
003520,영진약품,의약품
002630,오리엔트바이오,의약품
004720,우리들제약,의약품
033270,유나이티드제약,의약품
000220,유유제약,의약품
000225,유유제약1우,의약품
000227,유유제약2우B,의약품
000100,유한양행,의약품
000105,유한양행우,의약품
102460,이연제약,의약품
249420,일동제약,의약품
000230,일동홀딩스,의약품
003120,일성신약,의약품
007570,일양약품,의약품
007575,일양약품우,의약품
002620,제일약품,의약품
185750,종근당,의약품
063160,종근당바이오,의약품
005690,파미셀,의약품
002390,한독,의약품
128940,한미약품,의약품
009420,한올바이오파마,의약품
004310,현대약품,의약품
016580,환인제약,의약품
